Generation,Car ID,Speed,Angle,Distance,Alive
2,37,20,-10,20,True
2,38,20,0,20,True
2,39,20,0,20,True
2,0,18,10,38,True
2,1,22,0,42,True
2,2,20,-10,40,True
2,3,20,-10,40,True
2,4,18,0,38,True
2,5,22,0,42,True
2,6,18,0,38,True
2,7,22,0,42,True
2,8,22,0,42,True
2,9,22,0,42,True
2,10,20,-10,40,True
2,11,20,-10,40,True
2,12,18,0,38,True
2,13,22,0,42,True
2,14,18,10,38,True
2,15,22,0,42,True
2,16,18,0,38,True
2,17,22,0,42,True
2,18,22,10,42,True
2,19,22,-10,42,True
2,20,22,10,42,True
2,21,20,10,40,True
2,22,18,0,38,True
2,23,22,0,42,True
2,24,20,10,40,True
2,25,18,0,38,True
2,26,22,0,42,True
2,27,22,0,42,True
2,28,22,0,42,True
2,29,18,0,38,True
2,30,22,-10,42,True
2,31,22,0,42,True
2,32,18,0,38,True
2,33,22,0,42,True
2,34,18,10,38,True
2,35,20,-10,40,True
2,36,22,0,42,True
2,37,22,-10,42,True
2,38,22,0,42,True
2,39,18,0,38,True
2,0,16,10,54,True
2,1,24,0,66,True
2,2,20,-20,60,False
2,3,18,-10,58,True
2,4,16,0,54,True
2,5,24,0,66,True
2,6,16,0,54,True
2,7,24,0,66,True
2,8,24,0,66,True
2,9,24,0,66,True
2,10,20,-20,60,False
2,11,22,-10,62,True
2,12,16,0,54,True
2,13,24,0,66,True
2,14,16,10,54,True
2,15,24,0,66,True
2,16,16,0,54,True
2,17,24,0,66,True
2,18,24,10,66,True
2,19,24,-10,66,False
2,20,24,10,66,True
2,21,20,20,60,True
2,22,16,0,54,True
2,23,24,0,66,True
2,24,20,20,60,True
2,25,16,0,54,True
2,26,24,0,66,True
2,27,24,0,66,True
2,28,24,0,66,True
2,29,16,0,54,True
2,30,24,-10,66,False
2,31,24,0,66,True
2,32,16,0,54,True
2,33,24,0,66,True
2,34,16,10,54,True
2,35,20,0,60,True
2,36,24,0,66,True
2,37,24,-10,66,False
2,38,24,0,66,True
2,39,16,0,54,True
2,0,14,10,68,True
2,1,26,0,92,True
2,3,16,-10,74,True
2,4,14,0,68,True
2,5,26,0,92,True
2,6,14,0,68,True
2,7,26,0,92,True
2,8,26,0,92,True
2,9,26,0,92,True
2,11,24,-10,86,False
2,12,14,0,68,True
2,13,26,0,92,True
2,14,14,10,68,True
2,15,26,0,92,True
2,16,14,0,68,True
2,17,26,0,92,True
2,18,26,10,92,True
2,20,26,10,92,True
2,21,20,30,80,True
2,22,14,0,68,True
2,23,26,0,92,True
2,24,20,30,80,True
2,25,14,0,68,True
2,26,26,0,92,True
2,27,26,0,92,True
2,28,26,0,92,True
2,29,14,0,68,True
2,31,26,0,92,True
2,32,14,0,68,True
2,33,26,0,92,True
2,34,14,10,68,True
2,35,20,-10,80,True
2,36,26,0,92,True
2,38,26,0,92,True
2,39,14,0,68,True
2,0,12,10,80,True
2,1,28,0,120,True
2,3,14,-10,88,False
2,4,12,0,80,True
2,5,28,0,120,True
2,6,12,0,80,True
2,7,28,0,120,True
2,8,28,0,120,True
2,9,28,0,120,True
2,12,12,0,80,True
2,13,28,0,120,True
2,14,12,10,80,True
2,15,28,0,120,True
2,16,12,0,80,True
2,17,28,0,120,True
2,18,28,10,120,True
2,20,28,10,120,True
2,21,22,30,102,False
2,22,12,0,80,True
2,23,28,0,120,True
2,24,20,40,100,False
2,25,12,0,80,True
2,26,28,0,120,True
2,27,28,0,120,True
2,28,28,0,120,True
2,29,12,0,80,True
2,31,28,0,120,True
2,32,12,0,80,True
2,33,28,0,120,True
2,34,12,10,80,True
2,35,20,-20,100,False
2,36,28,0,120,True
2,38,28,0,120,True
2,39,12,0,80,True
2,0,12,10,92,True
2,1,30,0,150,True
2,4,12,0,92,True
2,5,30,0,150,True
2,6,12,0,92,True
2,7,30,0,150,True
2,8,30,0,150,True
2,9,30,0,150,True
2,12,12,0,92,True
2,13,30,0,150,True
2,14,12,10,92,True
2,15,30,0,150,True
2,16,12,0,92,True
2,17,30,0,150,True
2,18,26,10,146,True
2,20,30,10,150,True
2,22,12,0,92,True
2,23,30,0,150,True
2,25,12,0,92,True
2,26,30,0,150,True
2,27,30,0,150,True
2,28,30,0,150,True
2,29,12,0,92,True
2,31,30,0,150,True
2,32,12,0,92,True
2,33,30,0,150,True
2,34,12,10,92,True
2,36,30,0,150,True
2,38,30,0,150,True
2,39,12,0,92,True
2,0,12,10,104,True
2,1,32,0,182,True
2,4,12,0,104,True
2,5,32,0,182,True
2,6,12,0,104,True
2,7,32,0,182,True
2,8,32,0,182,True
2,9,32,0,182,True
2,12,12,0,104,True
2,13,32,0,182,True
2,14,12,10,104,True
2,15,32,0,182,True
2,16,12,0,104,True
2,17,32,0,182,True
2,18,24,10,170,True
2,20,32,10,182,True
2,22,12,0,104,True
2,23,32,0,182,True
2,25,12,0,104,True
2,26,32,0,182,True
2,27,32,0,182,True
2,28,32,0,182,True
2,29,12,0,104,True
2,31,32,0,182,True
2,32,12,0,104,True
2,33,32,0,182,True
2,34,12,10,104,True
2,36,32,0,182,True
2,38,32,0,182,True
2,39,12,0,104,True
2,0,12,10,116,True
2,1,34,0,216,True
2,4,12,0,116,True
2,5,34,0,216,True
2,6,12,0,116,True
2,7,34,0,216,True
2,8,34,0,216,True
2,9,34,0,216,True
2,12,12,0,116,True
2,13,34,0,216,True
2,14,12,10,116,True
2,15,34,0,216,True
2,16,12,0,116,True
2,17,34,0,216,True
2,18,22,10,192,True
2,20,34,10,216,False
2,22,12,0,116,True
2,23,34,0,216,True
2,25,12,0,116,True
2,26,34,0,216,True
2,27,34,0,216,True
2,28,34,0,216,True
2,29,12,0,116,True
2,31,34,0,216,True
2,32,12,0,116,True
2,33,34,0,216,True
2,34,12,10,116,True
2,36,34,0,216,True
2,38,34,0,216,True
2,39,12,0,116,True
2,0,12,10,128,True
2,1,36,0,252,True
2,4,12,0,128,True
2,5,36,0,252,True
2,6,12,0,128,True
2,7,36,0,252,True
2,8,36,0,252,True
2,9,36,0,252,True
2,12,12,0,128,True
2,13,36,0,252,True
2,14,12,10,128,True
2,15,36,0,252,True
2,16,12,0,128,True
2,17,36,0,252,True
2,18,20,10,212,True
2,22,12,0,128,True
2,23,36,0,252,True
2,25,12,0,128,True
2,26,36,0,252,True
2,27,36,0,252,True
2,28,36,0,252,True
2,29,12,0,128,True
2,31,36,0,252,True
2,32,12,0,128,True
2,33,36,0,252,True
2,34,12,10,128,True
2,36,36,0,252,True
2,38,36,0,252,True
2,39,12,0,128,True
2,0,12,10,140,True
2,1,38,0,290,True
2,4,12,0,140,True
2,5,38,0,290,True
2,6,12,0,140,True
2,7,38,0,290,True
2,8,38,0,290,True
2,9,38,0,290,True
2,12,12,0,140,True
2,13,38,0,290,True
2,14,12,10,140,True
2,15,38,0,290,True
2,16,12,0,140,True
2,17,38,0,290,True
2,18,18,10,230,False
2,22,12,0,140,True
2,23,38,0,290,True
2,25,12,0,140,True
2,26,38,0,290,True
2,27,38,0,290,True
2,28,38,0,290,True
2,29,12,0,140,True
2,31,38,0,290,True
2,32,12,0,140,True
2,33,38,0,290,True
2,34,12,10,140,True
2,36,38,0,290,True
2,38,38,0,290,True
2,39,12,0,140,True
2,0,12,10,152,True
2,1,40,0,330,True
2,4,12,0,152,True
2,5,40,0,330,True
2,6,12,0,152,True
2,7,40,0,330,True
2,8,40,0,330,True
2,9,40,0,330,True
2,12,12,0,152,True
2,13,40,0,330,True
2,14,12,10,152,True
2,15,40,0,330,True
2,16,12,0,152,True
2,17,40,0,330,True
2,22,12,0,152,True
2,23,40,0,330,True
2,25,12,0,152,True
2,26,40,0,330,True
2,27,36,0,326,True
2,28,40,0,330,True
2,29,12,0,152,True
2,31,40,0,330,True
2,32,12,0,152,True
2,33,40,0,330,True
2,34,12,10,152,True
2,36,40,0,330,True
2,38,40,0,330,True
2,39,12,0,152,True
2,0,12,10,164,True
2,1,42,0,372,True
2,4,12,0,164,True
2,5,42,0,372,True
2,6,12,0,164,True
2,7,42,0,372,True
2,8,42,0,372,True
2,9,42,0,372,True
2,12,12,0,164,True
2,13,42,0,372,True
2,14,12,10,164,True
2,15,42,0,372,True
2,16,12,0,164,True
2,17,42,0,372,True
2,22,12,0,164,True
2,23,42,0,372,True
2,25,12,0,164,True
2,26,42,0,372,True
2,27,34,0,360,True
2,28,38,0,368,True
2,29,12,0,164,True
2,31,42,0,372,True
2,32,12,0,164,True
2,33,42,0,372,True
2,34,12,10,164,True
2,36,42,0,372,True
2,38,42,0,372,True
2,39,12,0,164,True
2,0,12,10,176,True
2,1,44,0,416,True
2,4,12,0,176,True
2,5,44,0,416,True
2,6,12,0,176,True
2,7,42,10,414,True
2,8,44,0,416,True
2,9,44,0,416,True
2,12,12,0,176,True
2,13,44,0,416,True
2,14,12,10,176,True
2,15,42,10,414,True
2,16,12,0,176,True
2,17,44,0,416,True
2,22,12,0,176,True
