Generation,Car ID,Speed,Angle,Distance,Alive
1,36,20,-10,600,True
1,36,20,-20,620,True
1,36,20,-30,640,True
1,36,22,-30,662,False
2,0,20,-10,20,True
2,1,20,-10,20,True
2,2,20,0,20,True
2,3,20,10,20,True
2,4,20,-10,20,True
2,5,20,-10,20,True
2,6,20,0,20,True
2,7,20,-10,20,True
2,8,20,10,20,True
2,9,20,-10,20,True
2,10,20,10,20,True
2,11,20,10,20,True
2,12,20,0,20,True
2,13,20,10,20,True
2,14,20,-10,20,True
2,15,20,10,20,True
2,16,20,0,20,True
2,17,20,10,20,True
2,18,20,-10,20,True
2,19,20,0,20,True
2,20,20,-10,20,True
2,21,20,0,20,True
2,22,20,-10,20,True
2,23,20,0,20,True
2,24,20,10,20,True
2,25,20,-10,20,True
2,26,20,0,20,True
2,27,20,0,20,True
2,28,20,-10,20,True
2,29,20,-10,20,True
2,30,20,0,20,True
2,31,20,0,20,True
2,32,20,0,20,True
2,33,20,0,20,True
2,34,20,-10,20,True
2,35,20,0,20,True
2,36,20,-10,20,True
2,37,20,10,20,True
2,38,20,0,20,True
2,39,20,10,20,True
2,0,20,0,40,True
2,1,20,0,40,True
2,2,20,10,40,True
2,3,18,10,38,True
2,4,20,0,40,True
2,5,20,0,40,True
2,6,20,10,40,True
2,7,22,-10,42,True
2,8,22,10,42,True
2,9,20,0,40,True
2,10,18,10,38,True
2,11,18,10,38,True
2,12,20,10,40,True
2,13,20,0,40,True
2,14,20,0,40,True
2,15,20,20,40,True
2,16,22,0,42,True
2,17,20,0,40,True
2,18,20,0,40,True
2,19,20,10,40,True
2,20,20,0,40,True
2,21,20,10,40,True
2,22,20,0,40,True
2,23,20,10,40,True
2,24,20,20,40,True
2,25,20,0,40,True
2,26,20,10,40,True
2,27,20,10,40,True
2,28,22,-10,42,True
2,29,20,0,40,True
2,30,20,10,40,True
2,31,20,-10,40,True
2,32,18,0,38,True
2,33,20,10,40,True
2,34,20,0,40,True
2,35,20,10,40,True
2,36,20,0,40,True
2,37,22,10,42,True
2,38,20,10,40,True
2,39,18,10,38,True
2,0,20,10,60,True
2,1,20,10,60,True
2,2,20,20,60,True
2,3,16,10,54,True
2,4,20,10,60,True
2,5,20,10,60,True
2,6,20,20,60,True
2,7,24,-10,66,False
2,8,22,20,64,True
2,9,20,10,60,True
2,10,18,20,56,True
2,11,16,10,54,True
2,12,20,20,60,True
2,13,20,-10,60,True
2,14,20,10,60,True
2,15,18,20,58,True
2,16,24,0,66,True
2,17,20,10,60,True
2,18,20,10,60,True
2,19,20,20,60,True
2,20,20,10,60,True
2,21,20,20,60,True
2,22,20,10,60,True
2,23,20,20,60,True
2,24,20,30,60,True
2,25,20,10,60,True
2,26,20,20,60,True
2,27,20,20,60,True
2,28,24,-10,66,False
2,29,20,10,60,True
2,30,20,20,60,True
2,31,20,-20,60,False
2,32,16,0,54,True
2,33,20,20,60,True
2,34,20,10,60,True
2,35,20,20,60,True
2,36,20,10,60,True
2,37,24,10,66,True
2,38,20,20,60,True
2,39,18,20,56,True
2,0,20,20,80,True
2,1,20,20,80,True
2,2,20,30,80,True
2,3,14,10,68,True
2,4,20,20,80,True
2,5,20,20,80,True
2,6,20,30,80,True
2,8,22,30,86,True
2,9,20,20,80,True
2,10,18,30,74,True
2,11,14,10,68,True
2,12,20,30,80,True
2,13,20,-20,80,False
2,14,20,20,80,True
2,15,18,30,76,True
2,16,26,0,92,False
2,17,20,20,80,True
2,18,20,20,80,True
2,19,20,30,80,True
2,20,20,20,80,True
2,21,20,30,80,True
2,22,20,20,80,True
2,23,20,30,80,True
2,24,20,40,80,True
2,25,20,20,80,True
2,26,20,30,80,True
2,27,20,30,80,True
2,29,20,20,80,True
2,30,20,30,80,True
2,32,14,0,68,True
2,33,20,30,80,True
2,34,20,20,80,True
2,35,20,30,80,True
2,36,20,20,80,True
2,37,26,10,92,True
2,38,20,30,80,True
2,39,16,20,72,True
2,0,20,30,100,True
2,1,20,30,100,True
2,2,20,40,100,True
2,3,12,10,80,True
2,4,20,30,100,True
2,5,20,30,100,True
2,6,20,40,100,True
2,8,22,40,108,True
2,9,20,30,100,True
2,10,18,40,92,True
2,11,12,10,80,True
2,12,20,40,100,True
2,14,20,30,100,True
2,15,18,40,94,True
2,17,20,30,100,True
2,18,20,30,100,True
2,19,20,40,100,True
2,20,20,30,100,True
2,21,20,40,100,True
2,22,20,30,100,True
2,23,20,40,100,True
2,24,20,50,100,True
2,25,20,30,100,True
2,26,20,40,100,True
2,27,20,40,100,True
2,29,20,30,100,True
2,30,20,40,100,True
2,32,12,0,80,True
2,33,20,40,100,True
2,34,20,30,100,True
2,35,20,40,100,True
2,36,20,30,100,True
2,37,28,10,120,True
2,38,20,40,100,True
2,39,16,30,88,True
2,0,20,40,120,True
2,1,20,40,120,True
2,2,20,50,120,True
2,3,12,10,92,True
2,4,20,40,120,True
2,5,20,40,120,True
2,6,20,50,120,True
2,8,22,50,130,True
2,9,20,40,120,True
2,10,18,50,110,True
2,11,12,10,92,True
2,12,20,50,120,True
2,14,22,30,122,True
2,15,18,50,112,True
2,17,20,40,120,True
2,18,20,40,120,True
2,19,20,50,120,True
2,20,20,40,120,True
2,21,20,50,120,True
2,22,20,40,120,True
2,23,20,50,120,True
2,24,20,60,120,True
2,25,20,40,120,True
2,26,20,50,120,True
2,27,20,50,120,True
2,29,20,40,120,True
2,30,20,50,120,True
2,32,12,0,92,False
2,33,20,50,120,True
2,34,20,40,120,True
2,35,20,50,120,True
2,36,20,40,120,True
2,37,30,10,150,False
2,38,20,50,120,True
2,39,16,40,104,True
2,0,20,50,140,True
2,1,20,50,140,True
2,2,20,60,140,True
2,3,12,10,104,True
2,4,20,50,140,True
2,5,20,50,140,True
2,6,20,60,140,True
2,8,22,60,152,True
2,9,20,50,140,True
2,10,16,50,126,True
2,11,12,10,104,True
2,12,20,60,140,True
2,14,24,30,146,True
2,15,18,60,130,True
2,17,20,50,140,True
2,18,20,50,140,True
2,19,20,60,140,True
2,20,20,50,140,True
2,21,20,60,140,True
2,22,20,50,140,True
2,23,20,60,140,True
2,24,20,70,140,True
2,25,20,50,140,True
2,26,20,60,140,True
2,27,18,50,138,True
2,29,20,50,140,True
2,30,20,60,140,True
2,33,20,60,140,True
2,34,20,50,140,True
2,35,20,60,140,True
2,36,20,50,140,True
2,38,18,50,138,True
2,39,16,50,120,True
2,0,20,60,160,True
2,1,20,60,160,True
2,2,18,60,158,True
2,3,12,10,116,True
2,4,20,60,160,True
2,5,20,60,160,True
2,6,20,70,160,True
2,8,22,70,174,True
2,9,20,60,160,True
2,10,16,60,142,True
2,11,12,10,116,True
2,12,20,70,160,True
2,14,24,40,170,True
2,15,18,70,148,True
2,17,20,60,160,True
2,18,20,60,160,True
2,19,20,70,160,True
2,20,20,60,160,True
2,21,20,50,160,True
2,22,20,60,160,True
2,23,20,50,160,True
2,24,20,80,160,True
2,25,20,60,160,True
2,26,20,70,160,True
2,27,16,50,154,True
2,29,20,60,160,True
2,30,18,60,158,True
2,33,20,70,160,True
2,34,20,60,160,True
2,35,18,60,158,True
2,36,20,60,160,True
2,38,20,50,158,True
2,39,14,50,134,True
2,0,22,60,182,True
2,1,20,70,180,True
2,2,18,70,176,True
2,3,12,10,128,True
2,4,20,70,180,True
2,5,20,70,180,True
2,6,20,80,180,True
2,8,22,80,196,True
2,9,20,70,180,True
2,10,14,60,156,True
2,11,12,20,128,True
2,12,20,80,180,True
2,14,24,50,194,True
2,15,18,60,166,True
2,17,20,70,180,True
2,18,20,70,180,True
2,19,22,70,182,True
2,20,20,70,180,True
2,21,20,60,180,True
2,22,20,70,180,True
2,23,20,60,180,True
2,24,20,90,180,True
2,25,22,60,182,True
2,26,20,80,180,True
2,27,16,60,170,True
2,29,20,70,180,True
2,30,16,60,174,True
2,33,20,80,180,True
2,34,22,60,182,True
2,35,16,60,174,True
2,36,20,70,180,True
2,38,20,60,178,True
2,39,12,50,146,True
2,0,22,70,204,True
2,1,20,80,200,True
2,2,18,80,194,True
2,3,12,20,140,True
2,4,20,80,200,True
2,5,20,80,200,True
2,6,20,90,200,True
2,8,20,80,216,True
2,9,20,60,200,True
2,10,12,60,168,True
2,11,12,20,140,True
2,12,20,90,200,True
2,14,24,60,218,False
2,15,16,60,182,True
2,17,20,60,200,True
2,18,20,80,200,True
2,19,22,80,204,True
2,20,20,80,200,True
2,21,20,70,200,True
2,22,20,80,200,True
2,23,20,70,200,True
2,24,20,100,200,False
2,25,24,60,206,True
2,26,20,90,200,True
2,27,14,60,184,True
2,29,20,80,200,True
2,30,14,60,188,True
2,33,20,90,200,True
2,34,24,60,206,True
2,35,14,60,188,True
2,36,20,80,200,True
2,38,22,60,200,True
2,39,12,60,158,True
2,0,24,70,228,True
2,1,20,90,220,True
2,2,18,70,212,True
2,3,12,20,152,False
2,4,20,90,220,True
2,5,20,90,220,True
2,6,20,100,220,True
2,8,18,80,234,True
2,9,20,70,220,True
2,10,12,70,180,True
2,11,12,20,152,False
2,12,20,100,220,True
2,15,16,70,198,True
2,17,20,70,220,True
2,18,20,90,220,True
2,19,24,80,228,True
2,20,20,90,220,True
2,21,20,80,220,True
2,22,20,90,220,True
2,23,20,80,220,True
2,25,24,70,230,True
2,26,20,100,220,True
2,27,12,60,196,True
2,29,20,90,220,True
2,30,14,70,202,True
2,33,20,100,220,True
2,34,24,70,230,True
2,35,12,60,200,True
2,36,20,70,220,True
2,38,24,60,224,True
2,39,12,60,170,True
2,0,26,70,254,True
2,1,18,90,238,True
2,2,18,80,230,True
2,4,22,90,242,True
2,5,20,80,240,True
2,6,20,110,240,True
2,8,16,80,250,True
2,9,20,80,240,True
2,10,12,70,192,True
2,12,20,110,240,True
2,15,16,80,214,True
2,17,20,80,240,True
2,18,20,100,240,True
2,19,26,80,254,True
2,20,20,100,240,True
2,21,22,80,242,True
2,22,20,100,240,True
2,23,20,90,240,True
2,25,22,70,252,True
2,26,20,110,240,True
2,27,12,60,208,True
2,29,20,100,240,True
2,30,12,70,214,True
2,33,22,100,242,True
2,34,26,70,256,True
2,35,12,60,212,True
2,36,20,80,240,True
2,38,24,70,248,True
2,39,12,60,182,True
2,0,26,80,280,True
2,1,16,90,254,True
2,2,18,70,248,True
2,4,24,90,266,True
2,5,20,90,260,True
2,6,18,110,258,False
2,8,14,80,264,True
2,9,20,70,260,True
2,10,12,70,204,True
2,12,20,120,260,False
2,15,16,90,230,True
2,17,18,80,258,True
2,18,20,110,260,True
2,19,28,80,282,True
2,20,20,110,260,True
2,21,24,80,266,True
2,22,20,110,260,True
2,23,20,80,260,True
2,25,20,70,272,True
2,26,20,120,260,False
2,27,12,60,220,True
2,29,20,110,260,True
2,30,12,70,226,True
2,33,24,100,266,True
2,34,28,70,284,True
2,35,12,60,224,True
2,36,20,70,260,True
2,38,26,70,274,True
2,39,12,70,194,True
2,0,28,80,308,True
2,1,14,90,268,True
2,2,18,80,266,True
2,4,26,90,292,True
2,5,20,80,280,True
2,8,14,90,278,True
2,9,20,80,280,True
2,10,12,70,216,True
2,15,16,100,246,True
2,17,18,70,276,True
2,18,22,110,282,True
2,19,30,80,312,True
2,20,18,110,278,True
2,21,26,80,292,True
2,22,20,120,280,True
2,23,20,90,280,True
2,25,22,70,294,True
2,27,12,70,232,True
2,29,20,120,280,True
2,30,12,70,238,True
2,33,26,100,292,False
2,34,28,80,312,True
2,35,12,60,236,True
2,36,20,80,280,True
2,38,28,70,302,True
2,39,12,70,206,True
2,0,30,80,338,True
2,1,12,90,280,True
2,2,18,90,284,True
2,4,28,90,320,True
2,5,20,90,300,True
2,8,12,90,290,True
2,9,20,90,300,True
2,10,12,70,228,True
2,15,14,100,260,True
2,17,18,80,294,True
2,18,24,110,306,True
2,19,30,90,342,True
2,20,16,110,294,True
2,21,28,80,320,True
2,22,20,130,300,False
2,23,20,80,300,True
2,25,22,80,316,True
2,27,12,70,244,True
2,29,20,130,300,False
2,30,12,70,250,True
2,34,28,90,340,True
2,35,12,60,248,True
2,36,20,90,300,True
2,38,28,80,330,True
2,39,12,70,218,True
2,0,32,80,370,True
2,1,12,90,292,True
2,2,18,80,302,True
2,4,30,90,350,True
2,5,20,80,320,True
2,8,12,90,302,True
2,9,20,80,320,True
2,10,12,70,240,True
2,15,12,100,272,True
2,17,16,80,310,True
2,18,26,110,332,False
2,19,32,90,374,True
2,20,14,110,308,True
2,21,28,70,348,True
2,23,20,90,320,True
2,25,20,80,336,True
2,27,12,70,256,True
2,30,12,70,262,True
2,34,28,100,368,True
2,35,12,60,260,True
2,36,20,80,320,True
2,38,26,80,356,False
2,39,12,70,230,True
2,0,34,80,404,True
2,1,12,90,304,True
2,2,16,80,318,True
2,4,32,90,382,True
2,5,20,90,340,True
2,8,14,90,316,True
2,9,20,90,340,True
2,10,12,70,252,True
2,15,12,100,284,True
2,17,16,70,326,True
2,19,32,100,406,True
2,20,12,110,320,False
2,21,28,80,376,True
2,23,20,80,340,True
2,25,18,80,354,False
2,27,12,70,268,True
2,30,12,70,274,True
2,34,30,100,398,True
2,35,12,60,272,True
2,36,20,90,340,True
2,39,12,70,242,True
2,0,36,80,440,False
2,1,12,90,316,True
2,2,16,90,334,True
2,4,34,90,416,True
2,5,20,80,360,True
2,8,16,90,332,True
2,9,20,80,360,True
2,10,12,80,264,True
2,15,12,100,296,True
2,17,16,80,342,True
2,19,32,110,438,True
2,21,28,90,404,True
2,23,20,90,360,True
2,27,12,70,280,True
2,30,12,70,286,True
2,34,32,100,430,True
2,35,12,60,284,True
2,36,20,80,360,True
2,39,12,70,254,True
2,1,12,90,328,True
2,2,16,100,350,True
2,4,36,90,452,True
2,5,20,90,380,True
2,8,18,90,350,True
2,9,20,90,380,True
2,10,12,80,276,True
2,15,12,100,308,True
2,17,16,90,358,True
2,19,32,120,470,False
2,21,28,80,432,True
2,23,20,100,380,True
2,27,12,80,292,True
2,30,12,80,298,True
2,34,34,100,464,True
2,35,12,50,296,False
2,36,20,90,380,True
2,39,12,70,266,True
2,1,12,90,340,True
2,2,16,90,366,True
2,4,38,90,490,True
2,5,20,100,400,True
2,8,20,90,370,True
2,9,20,100,400,True
2,10,12,80,288,True
2,15,12,100,320,True
2,17,16,80,374,True
2,21,28,70,460,True
2,23,20,90,400,True
2,27,12,90,304,True
2,30,12,80,310,True
2,34,36,100,500,True
2,36,20,80,400,True
2,39,12,80,278,True
2,1,12,90,352,True
2,2,14,90,380,True
2,4,40,90,530,True
2,5,20,90,420,True
2,8,22,90,392,True
2,9,20,110,420,True
2,10,12,80,300,True
2,15,12,100,332,True
2,17,16,90,390,True
2,21,28,60,488,True
2,23,20,80,420,True
2,27,12,90,316,True
2,30,12,80,322,True
2,34,38,100,538,True
2,36,20,90,420,True
2,39,12,80,290,True
2,1,12,100,364,True
2,2,14,80,394,True
2,4,42,90,572,False
2,5,20,80,440,True
2,8,24,90,416,True
2,9,20,100,440,True
2,10,12,90,312,True
2,15,12,100,344,True
2,17,16,100,406,True
2,21,28,50,516,True
2,23,20,70,440,True
2,27,12,90,328,True
2,30,12,80,334,True
2,34,40,100,578,False
2,36,20,80,440,True
2,39,12,80,302,True
2,1,14,100,378,True
2,2,12,80,406,True
2,5,20,70,460,True
2,8,26,90,442,True
2,9,20,90,460,True
2,10,12,90,324,True
2,15,12,100,356,True
2,17,16,90,422,True
2,21,28,60,544,True
2,23,20,60,460,True
2,27,12,90,340,True
2,30,12,80,346,True
2,36,20,90,460,True
2,39,12,80,314,True
2,1,16,100,394,True
2,2,12,80,418,True
2,5,20,60,480,True
2,8,28,90,470,True
2,9,20,80,480,True
