2024-12-19 12:02:10,664 - Generation 1 - Car 25: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,664 - Generation 1 - Car 26: Speed: 20, Angle: 30, Distance: 60, Alive: True
2024-12-19 12:02:10,664 - Generation 1 - Car 27: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,664 - Generation 1 - Car 28: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,664 - Generation 1 - Car 29: Speed: 20, Angle: 20, Distance: 60, Alive: True
2024-12-19 12:02:10,665 - Generation 1 - Car 30: Speed: 24, Angle: 30, Distance: 66, Alive: True
2024-12-19 12:02:10,665 - Generation 1 - Car 31: Speed: 20, Angle: 60, Distance: 60, Alive: True
2024-12-19 12:02:10,665 - Generation 1 - Car 32: Speed: 20, Angle: 60, Distance: 60, Alive: True
2024-12-19 12:02:10,665 - Generation 1 - Car 33: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,665 - Generation 1 - Car 34: Speed: 24, Angle: 40, Distance: 66, Alive: True
2024-12-19 12:02:10,665 - Generation 1 - Car 35: Speed: 20, Angle: 30, Distance: 60, Alive: True
2024-12-19 12:02:10,666 - Generation 1 - Car 36: Speed: 22, Angle: 30, Distance: 62, Alive: True
2024-12-19 12:02:10,666 - Generation 1 - Car 37: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,666 - Generation 1 - Car 38: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,666 - Generation 1 - Car 39: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,676 - Generation 1 - Car 0: Speed: 24, Angle: 40, Distance: 90, Alive: True
2024-12-19 12:02:10,677 - Generation 1 - Car 1: Speed: 22, Angle: 60, Distance: 84, Alive: True
2024-12-19 12:02:10,677 - Generation 1 - Car 2: Speed: 26, Angle: 40, Distance: 92, Alive: True
2024-12-19 12:02:10,677 - Generation 1 - Car 3: Speed: 26, Angle: 50, Distance: 92, Alive: True
2024-12-19 12:02:10,677 - Generation 1 - Car 4: Speed: 20, Angle: 80, Distance: 80, Alive: True
2024-12-19 12:02:10,677 - Generation 1 - Car 5: Speed: 20, Angle: 70, Distance: 80, Alive: True
2024-12-19 12:02:10,677 - Generation 1 - Car 6: Speed: 14, Angle: 40, Distance: 68, Alive: True
2024-12-19 12:02:10,678 - Generation 1 - Car 7: Speed: 14, Angle: 50, Distance: 68, Alive: True
2024-12-19 12:02:10,678 - Generation 1 - Car 8: Speed: 24, Angle: 40, Distance: 90, Alive: True
2024-12-19 12:02:10,678 - Generation 1 - Car 9: Speed: 20, Angle: 30, Distance: 80, Alive: True
2024-12-19 12:02:10,678 - Generation 1 - Car 11: Speed: 20, Angle: 60, Distance: 80, Alive: True
2024-12-19 12:02:10,678 - Generation 1 - Car 12: Speed: 26, Angle: 30, Distance: 92, Alive: True
2024-12-19 12:02:10,678 - Generation 1 - Car 13: Speed: 16, Angle: 30, Distance: 74, Alive: True
2024-12-19 12:02:10,679 - Generation 1 - Car 14: Speed: 20, Angle: 20, Distance: 80, Alive: True
2024-12-19 12:02:10,679 - Generation 1 - Car 15: Speed: 24, Angle: 50, Distance: 90, Alive: True
2024-12-19 12:02:10,679 - Generation 1 - Car 16: Speed: 26, Angle: 30, Distance: 92, Alive: True
2024-12-19 12:02:10,679 - Generation 1 - Car 17: Speed: 18, Angle: 60, Distance: 76, Alive: True
